time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)	V(Vout)*I(C2)
1.948721994583398e-06	1.066742e-07	1.054886e-08	7.425139e-09	2.108656e-09	2.257764e-08	-1.204865e-08	5.498768e-08	1.130703e-09	1.172523e-08	2.759141e-10
1.958487619583398e-06	1.093686e-07	1.345714e-09	1.010594e-08	4.030870e-09	5.455275e-08	1.584471e-10	1.455120e-08	2.315068e-08	2.115827e-09	1.006794e-08
1.968253244583398e-06	1.133317e-07	2.819198e-09	5.659296e-09	-1.775769e-09	2.065902e-08	4.647658e-09	-7.140471e-09	1.316620e-07	-1.416179e-08	2.103925e-08
1.978018869583398e-06	1.149041e-07	3.058040e-08	5.690675e-08	1.156191e-09	2.966153e-09	1.446201e-09	-6.424317e-09	1.726898e-07	-1.308979e-08	3.934100e-09
1.987784494583398e-06	1.074884e-07	6.239816e-08	1.385734e-07	3.186354e-10	-3.566666e-09	2.435155e-09	2.456046e-09	1.085545e-07	5.642758e-09	1.199044e-08
1.989005197708398e-06	1.076087e-07	6.318834e-08	1.389770e-07	7.803467e-10	-3.112971e-09	1.741985e-09	2.021765e-09	1.072538e-07	4.681373e-09	9.626686e-09
1.991446603958398e-06	1.097179e-07	6.330769e-08	1.306997e-07	2.842767e-09	-8.128742e-10	-2.058356e-10	-1.742615e-10	1.121367e-07	-1.137252e-10	7.754066e-10
1.996329416458398e-06	1.107371e-07	6.614908e-08	1.275633e-07	4.307169e-09	-5.661267e-10	-2.265839e-10	-7.605714e-10	1.047678e-07	-1.303037e-09	-2.481406e-10
2.006095041458398e-06	1.119378e-07	7.898782e-08	1.073425e-07	1.928345e-08	-3.359266e-09	-1.211128e-09	-1.522437e-09	6.940413e-08	-2.296313e-09	1.728997e-10
2.015860666458398e-06	1.119960e-07	9.681959e-08	5.135375e-08	4.290833e-08	-9.185105e-09	-7.116524e-10	2.122240e-10	2.684821e-08	-1.018366e-09	2.590091e-09
2.025626291458398e-06	1.085088e-07	9.630972e-08	7.584168e-09	2.475143e-08	-7.008947e-09	3.914599e-08	2.262623e-09	3.118054e-09	7.108237e-10	-1.321480e-08
2.035391916458398e-06	1.046317e-07	6.676175e-08	-1.961625e-09	-2.669985e-09	1.994786e-09	5.152790e-08	4.202300e-09	-1.315930e-10	7.887555e-09	-2.139604e-08
2.045157541458398e-06	1.047237e-07	3.005089e-08	1.021359e-09	-2.885794e-09	3.367300e-09	1.306747e-09	3.868122e-08	4.893121e-09	1.520279e-08	-3.251380e-09
2.054923166458398e-06	1.074322e-07	6.752721e-09	1.042316e-08	4.182217e-09	3.537933e-08	-6.678644e-09	3.391660e-08	3.157777e-10	9.380746e-09	1.715272e-11
2.064688791458398e-06	1.098871e-07	7.735615e-10	4.558185e-09	1.667202e-09	5.509325e-08	2.006053e-09	4.195305e-09	3.309385e-08	-2.061910e-10	1.198079e-08
2.074454416458398e-06	1.123027e-07	3.589951e-09	8.203769e-09	-1.069087e-09	1.813982e-08	4.594593e-09	-4.783658e-09	1.491542e-07	-9.728485e-09	2.004543e-08
